ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC020157;FEMENINO;1452,0;1265,0;171,0;16,0;0,11776859504132231;0,011019283746556474;0,5289256198347108;0,34228650137741046
EC020158;FEMENINO;740,0;697,0;40,0;3,0;0,05405405405405406;0,004054054054054054;0,668918918918919;0,27297297297297296
EC020159;FEMENINO;4156,0;3437,0;673,0;46,0;0,16193455245428295;0,011068334937439845;0,3402309913378248;0,4867661212704524
EC020160;FEMENINO;2333,0;2151,0;160,0;22,0;0,06858122588941278;0,009429918559794257;0,609515645092156;0,31247321045863696
EC020250;FEMENINO;4762,0;4377,0;354,0;31,0;0,0743385132297354;0,006509869802603948;0,6016379672406552;0,31751364972700546
EC020251;FEMENINO;2213,0;2038,0;154,0;21,0;0,06958879349299593;0,009489380930863081;0,5910528694080434;0,3298689561680976
EC020350;FEMENINO;2707,0;2603,0;99,0;5,0;0,0365718507572959;0,001847063169560399;0,7905430365718508;0,17103804950129295
EC020351;FEMENINO;1039,0;931,0;92,0;15,0;0,08854667949951876;0,014436958614051972;0,6265640038498557;0,2694898941289702
EC020353;FEMENINO;1118,0;1026,0;87,0;5,0;0,0778175313059034;0,004472271914132379;0,590339892665474;0,32737030411449014
EC020354;FEMENINO;356,0;321,0;34,0;1,0;0,09550561797752809;0,0028089887640449437;0,7247191011235955;0,17696629213483145
EC020355;FEMENINO;663,0;605,0;54,0;4,0;0,08144796380090498;0,006033182503770739;0,7209653092006033;0,19155354449472098
EC020450;FEMENINO;6552,0;6111,0;398,0;43,0;0,060744810744810744;0,006562881562881563;0,6353785103785103;0,2973137973137973
EC020550;FEMENINO;5787,0;5467,0;297,0;24,0;0,05132192846034215;0,00414722654224987;0,7440815621219976;0,2006220839813375
EC020551;FEMENINO;1318,0;1239,0;70,0;7,0;0,05311077389984825;0,005311077389984826;0,6805766312594841;0,25948406676783003
EC020552;FEMENINO;918,0;853,0;57,0;8,0;0,06209150326797386;0,008714596949891068;0,6220043572984749;0,30718954248366015
EC020553;FEMENINO;424,0;395,0;27,0;2,0;0,06367924528301887;0,0047169811320754715;0,7169811320754716;0,21462264150943397
EC020554;FEMENINO;2163,0;2026,0;127,0;10,0;0,058714748035136384;0,004623208506703652;0,6014794267221452;0,3351826167360148
EC020555;FEMENINO;649,0;593,0;54,0;2,0;0,08320493066255778;0,0030816640986132513;0,6286594761171033;0,2850539291217257
EC020556;FEMENINO;355,0;328,0;23,0;4,0;0,0647887323943662;0,011267605633802818;0,6788732394366197;0,24507042253521127
EC020650;FEMENINO;6706,0;6328,0;346,0;32,0;0,051595586042350136;0,0047718461079630185;0,7277065314643603;0,21592603638532656
EC020750;FEMENINO;2600,0;2335,0;241,0;24,0;0,0926923076923077;0,009230769230769232;0,5180769230769231;0,38
EC030150;FEMENINO;1455,0;1346,0;96,0;13,0;0,06597938144329897;0,008934707903780068;0,7120274914089347;0,21305841924398625
EC030151;FEMENINO;1258,0;1161,0;84,0;13,0;0,06677265500794913;0,010333863275039745;0,6558028616852146;0,2670906200317965
EC030153;FEMENINO;2819,0;2657,0;143,0;18,0;0,050727208229868745;0,006385242993969493;0,8119900673997872;0,1305427456544874
EC030154;FEMENINO;2422,0;2200,0;198,0;24,0;0,08175061932287365;0,00990916597853014;0,5289017341040463;0,37943848059454993
EC030155;FEMENINO;1188,0;1063,0;110,0;15,0;0,09259259259259259;0,012626262626262626;0,6776094276094277;0,21717171717171718
EC030156;FEMENINO;641,0;568,0;67,0;6,0;0,10452418096723869;0,0093603744149766;0,5897035881435257;0,296411856474259
EC030157;FEMENINO;612,0;541,0;65,0;6,0;0,10620915032679738;0,00980392156862745;0,5702614379084967;0,3137254901960784
EC030158;FEMENINO;1142,0;1029,0;99,0;14,0;0,08669001751313485;0,012259194395796848;0,6260945709281961;0,27495621716287216
EC030160;FEMENINO;523,0;469,0;47,0;7,0;0,08986615678776291;0,01338432122370937;0,6309751434034416;0,26577437858508607
EC030250;FEMENINO;4943,0;4561,0;353,0;29,0;0,07141412097916246;0,005866882460044507;0,6951244183694113;0,22759457819138176
EC030251;FEMENINO;1074,0;974,0;87,0;13,0;0,08100558659217877;0,012104283054003724;0,707635009310987;0,19925512104283055
