issue,ADM3_PCODE,provincia_sat,canton_sat,parroquia_sat,sat_personas,censo_personas,censo_nbi_personas_viviendas_particulares,censo_personas_minus_sat_personas,censo_nbi_personas_minus_sat_personas
sat_personas_differs_from_total_population,EC220352,Orellana,La Joya de los Sachas,Pompeya,1652,1661.0,1652.0,9.0,0.0
sat_personas_differs_from_total_population,EC220453,Orellana,Loreto,San José de Payamino,3575,3576.0,3575.0,1.0,0.0
sat_personas_differs_from_total_population,EC230151,Santo Domingo de los Tsáchilas,Santo Domingo,Alluriquín,8600,8607.0,8600.0,7.0,0.0
sat_personas_differs_from_total_population,EC230153,Santo Domingo de los Tsáchilas,Santo Domingo,Luz de América,11438,11504.0,11438.0,66.0,0.0
sat_personas_differs_from_total_population,EC230156,Santo Domingo de los Tsáchilas,Santo Domingo,El Esfuerzo,5939,5973.0,5939.0,34.0,0.0
sat_personas_differs_from_total_population,EC230157,Santo Domingo de los Tsáchilas,Santo Domingo,Santa María del Toachi,7040,7059.0,7040.0,19.0,0.0
sat_personas_differs_from_total_population,EC010153,Azuay,Cuenca,Chaucha,1720,1721.0,1720.0,1.0,0.0
sat_personas_differs_from_total_population,EC010354,Azuay,Gualaceo,Mariano Moreno,2511,2513.0,2511.0,2.0,0.0
sat_personas_differs_from_total_population,EC010852,Azuay,Santa Isabel,El Carmen de Pijilí,2646,2648.0,2646.0,2.0,0.0
sat_personas_differs_from_total_population,EC010954,Azuay,Sígsig,Ludo,3428,3429.0,3428.0,1.0,0.0
sat_personas_differs_from_total_population,EC011350,Azuay,Sevilla de Oro,Sevilla de Oro,2026,2027.0,2026.0,1.0,0.0
sat_personas_differs_from_total_population,EC030362,Cañar,Cañar,Ventura,1356,1357.0,1356.0,1.0,0.0
sat_personas_differs_from_total_population,EC030452,Cañar,La Troncal,Pancho Negro,10864,10866.0,10864.0,2.0,0.0
sat_personas_differs_from_total_population,EC040554,Carchi,Montúfar,La Paz,3386,3399.0,3386.0,13.0,0.0
sat_personas_differs_from_total_population,EC060259,Chimborazo,Alausí,Sibambe,3383,3412.0,3383.0,29.0,0.0
sat_personas_differs_from_total_population,EC060554,Chimborazo,Chunchi,Llagos,1312,1316.0,1312.0,4.0,0.0
sat_personas_differs_from_total_population,EC070256,El Oro,Arenillas,La Cuca,2243,2253.0,2243.0,10.0,0.0
sat_personas_differs_from_total_population,EC070350,El Oro,Atahualpa,Paccha,2507,2509.0,2507.0,2.0,0.0
sat_personas_differs_from_total_population,EC071055,El Oro,Piñas,San Roque,1193,1194.0,1193.0,1.0,0.0
sat_personas_differs_from_total_population,EC071255,El Oro,Santa Rosa,Torata,2172,2174.0,2172.0,2.0,0.0
sat_personas_differs_from_total_population,EC071256,El Oro,Santa Rosa,Victoria,3701,3726.0,3701.0,25.0,0.0
sat_personas_differs_from_total_population,EC080250,Esmeraldas,Eloy Alfaro,Valdez,5779,5848.0,5779.0,69.0,0.0
sat_personas_differs_from_total_population,EC080255,Esmeraldas,Eloy Alfaro,Luis Vargas Torres,534,535.0,534.0,1.0,0.0
sat_personas_differs_from_total_population,EC080453,Esmeraldas,Quinindé,Malimpia,19862,19870.0,19862.0,8.0,0.0
sat_personas_differs_from_total_population,EC080551,Esmeraldas,San Lorenzo,Alto Tambo,1866,1867.0,1866.0,1.0,0.0
sat_personas_differs_from_total_population,EC080553,Esmeraldas,San Lorenzo,Calderón,1164,1176.0,1164.0,12.0,0.0
sat_personas_differs_from_total_population,EC080559,Esmeraldas,San Lorenzo,Santa Rita,1636,1638.0,1636.0,2.0,0.0
sat_personas_differs_from_total_population,EC080560,Esmeraldas,San Lorenzo,Tambillo,1360,1369.0,1360.0,9.0,0.0
sat_personas_differs_from_total_population,EC090551,Guayas,Colimes,San Jacinto,5904,5912.0,5904.0,8.0,0.0
sat_personas_differs_from_total_population,EC091153,Guayas,Naranjal,Santa Rosa de Flandes,6182,6196.0,6182.0,14.0,0.0
sat_personas_differs_from_total_population,EC092055,Guayas,San Jacinto de Yaguachi,Yaguachi Viejo,13139,13140.0,13139.0,1.0,0.0
sat_personas_differs_from_total_population,EC110753,Loja,Gonzanamá,Nambacola,4252,4257.0,4252.0,5.0,0.0
sat_personas_differs_from_total_population,EC110956,Loja,Paltas,Orianga,1585,1586.0,1585.0,1.0,0.0
sat_personas_differs_from_total_population,EC111156,Loja,Saraguro,San Pablo de Tenta,3283,3290.0,3283.0,7.0,0.0
sat_personas_differs_from_total_population,EC120754,Los Ríos,Ventanas,Los Ángeles,2728,2733.0,2728.0,5.0,0.0
sat_personas_differs_from_total_population,EC131051,Manabí,Paján,Campozano,8734,8736.0,8734.0,2.0,0.0
sat_personas_differs_from_total_population,EC131653,Manabí,24 de Mayo,Arquitecto Sixto Durán Ballén,3064,3072.0,3064.0,8.0,0.0
sat_personas_differs_from_total_population,EC140254,Morona Santiago,Gualaquiza,Chigüinda,549,551.0,549.0,2.0,0.0
sat_personas_differs_from_total_population,EC141051,Morona Santiago,Logroño,Yaupi,2198,2206.0,2198.0,8.0,0.0
sat_personas_differs_from_total_population,EC190351,Zamora Chinchipe,Nangaritza,Zurmi,1905,1915.0,1905.0,10.0,0.0
sat_personas_differs_from_total_population,EC190952,Zamora Chinchipe,Paquisha,Nuevo Quito,2024,2044.0,2024.0,20.0,0.0
sat_personas_differs_from_total_population,EC210455,Sucumbíos,Shushufindi,Siete de Julio,4346,4349.0,4346.0,3.0,0.0
sat_personas_differs_from_total_population,EC220158,Orellana,Francisco de Orellana,La Belleza,5167,5168.0,5167.0,1.0,0.0
sat_personas_differs_from_total_population,EC220351,Orellana,La Joya de los Sachas,Enokanqui,3229,3232.0,3229.0,3.0,0.0
sat_personas_differs_from_total_population,EC220355,Orellana,La Joya de los Sachas,Lago San Pedro,2279,2287.0,2279.0,8.0,0.0
sat_personas_differs_from_total_population,EC220455,Orellana,Loreto,San Vicente de Huaticocha,1204,1209.0,1204.0,5.0,0.0
